Plant,Date,Total Invoiced Amount MNOK ,Energy Generated in Gigawatts,Draft Reports Emissions
Plant A,2025-Q4,45.91538924,46.51815558,493.4893725
Plant B,2025-Q4,67.82725795,71.0736607,823.9892871
Plant C,2025-Q4,25.85039075,27.63054941,253.1275025
Plant D,2025-Q4,7.36821867,7.894894871,81.80410122
Plant E,2025-Q4,8.379268244,9.144078498,101.4433515
Plant F,2025-Q4,41.7922891,43.06162872,444.676649
Plant G,2025-Q4,47.05596441,50.1007138,525.5441244
Plant H,2025-Q4,33.86612328,36.98548744,380.9250121
Plant I,2025-Q4,84.96443017,85.65196949,823.1283226
Plant J,2025-Q4,82.12166558,84.99419689,793.3608739
Plant K,2025-Q4,69.73560745,76.40847522,772.1094538
Plant L,2025-Q4,68.62452912,70.70971372,658.1427167
Plant M,2025-Q4,56.66208138,57.53789311,555.2577805
Plant N,2025-Q4,19.11954117,20.79707178,197.549988
Plant O,2025-Q4,86.23935215,88.54133376,827.2711394
Plant P,2025-Q4,165.1806931,183.3236375,2708.046328
Plant Q,2025-Q4,105.6917358,109.6195737,995.1329921
Plant R,2025-Q4,91.79989338,92.35754599,843.1068297
Plant S,2025-Q4,75.05485718,81.03615435,714.2538913
Plant T,2025-Q4,100.680917,100.7259923,950.4610955
